iter	Passed	Remaining
1140	43169	32499
1141	43210	32464
1142	43255	32432
1143	43299	32399
1144	43342	32364
1145	43386	32331
1146	43430	32298
1147	43473	32264
1148	43518	32231
1149	43561	32197
1150	43605	32164
1151	43647	32129
1152	43690	32095
1153	43733	32061
1154	43776	32027
1155	43819	31992
1156	43859	31956
1157	43904	31923
1158	43947	31889
1159	43990	31855
1160	44033	31821
1161	44076	31786
1162	44116	31750
1163	44161	31717
1164	44203	31682
1165	44246	31648
1166	44276	31604
1167	44311	31564
1168	44346	31524
1169	44370	31476
1170	44408	31438
1171	44432	31391
1172	44456	31343
1173	44480	31295
1174	44505	31248
1175	44541	31209
1176	44565	31161
1177	44601	31122
1178	44625	31075
1179	44648	31027
1180	44684	30987
1181	44721	30949
1182	44746	30902
1183	44783	30864
1184	44819	30825
1185	44844	30778
1186	44867	30730
1187	44891	30683
1188	44927	30644
1189	44950	30596
1190	44974	30549
1191	44996	30501
1192	45020	30453
1193	45044	30406
1194	45067	30359
1195	45102	30319
1196	45126	30272
1197	45150	30225
1198	45173	30178
1199	45197	30131
1200	45223	30086
1201	45250	30041
1202	45277	29996
1203	45303	29951
1204	45331	29907
1205	45359	29863
1206	45387	29819
1207	45424	29781
1208	45469	29748
1209	45513	29715
1210	45557	29681
1211	45600	29647
1212	45643	29613
1213	45688	29581
1214	45732	29547
1215	45777	29514
1216	45820	29480
1217	45862	29445
1218	45906	29411
1219	45947	29376
1220	45989	29341
1221	46031	29306
1222	46073	29271
1223	46116	29237
1224	46158	29202
1225	46201	29167
1226	46245	29133
1227	46288	29099
1228	46330	29065
1229	46373	29030
1230	46416	28995
1231	46459	28961
1232	46501	28926
1233	46542	28891
1234	46584	28856
1235	46629	28822
1236	46671	28787
1237	46714	28753
1238	46757	28718
1239	46800	28684
1240	46845	28650
1241	46887	28615
1242	46932	28582
1243	46974	28547
1244	47017	28512
1245	47058	28476
1246	47099	28440
1247	47140	28404
1248	47183	28370
1249	47226	28335
1250	47269	28301
1251	47313	28267
1252	47357	28233
1253	47403	28199
1254	47448	28166
1255	47491	28131
1256	47536	28098
1257	47579	28063
1258	47622	28028
1259	47665	27994
1260	47708	27959
1261	47757	27927
1262	47837	27914
1263	47884	27882
1264	47929	27848
1265	47974	27814
1266	48019	27780
1267	48065	27747
1268	48110	27713
1269	48152	27678
1270	48199	27645
1271	48242	27610
1272	48287	27576
1273	48333	27543
1274	48378	27509
1275	48425	27476
1276	48467	27441
1277	48511	27406
1278	48554	27371
1279	48600	27337
1280	48643	27302
1281	48687	27268
1282	48732	27233
1283	48776	27199
1284	48820	27164
1285	48852	27123
1286	48876	27077
1287	48900	27031
1288	48925	26986
1289	48949	26941
1290	48973	26895
1291	48997	26849
1292	49032	26810
1293	49057	26765
1294	49081	26719
1295	49106	26675
1296	49136	26632
1297	49166	26590
1298	49194	26547
1299	49222	26504
1300	49259	26466
1301	49284	26421
1302	49307	26375
1303	49344	26337
1304	49368	26291
1305	49393	26247
1306	49418	26202
1307	49456	26164
1308	49481	26120
1309	49506	26076
1310	49530	26031
1311	49555	25986
1312	49592	25948
1313	49617	25903
1314	49641	25858
1315	49666	25814
1316	49691	25770
1317	49717	25726
1318	49744	25683
1319	49771	25639
1320	49797	25596
1321	49825	25553
1322	49854	25511
1323	49883	25469
1324	49914	25428
1325	49944	25386
1326	49973	25344
1327	50004	25303
1328	50035	25262
1329	50066	25221
1330	50097	25180
1331	50128	25139
1332	50160	25099
1333	50191	25058
1334	50223	25017
1335	50255	24977
1336	50286	24936
1337	50319	24896
1338	50350	24855
1339	50382	24815
1340	50416	24775
1341	50448	24735
1342	50479	24694
1343	50511	24654
1344	50542	24613
1345	50575	24573
1346	50605	24532
1347	50636	24491
1348	50668	24451
1349	50700	24411
1350	50733	24371
1351	50765	24331
1352	50798	24291
1353	50834	24253
1354	50867	24213
1355	50900	24174
1356	50934	24134
1357	50965	24094
1358	50998	24054
1359	51031	24014
1360	51064	23975
1361	51096	23935
1362	51136	23898
1363	51178	23863
1364	51223	23829
1365	51268	23795
1366	51313	23761
1367	51359	23727
1368	51400	23691
1369	51443	23656
1370	51489	23623
1371	51533	23588
1372	51580	23554
1373	51623	23519
1374	51667	23485
1375	51708	23449
1376	51750	23413
1377	51793	23378
1378	51835	23343
1379	51879	23308
1380	51923	23273
1381	51965	23237
1382	52008	23202
1383	52051	23167
1384	52093	23131
1385	52134	23095
1386	52179	23061
1387	52222	23026
1388	52265	22990
1389	52310	22956
1390	52351	22920
1391	52393	22884
1392	52434	22848
1393	52476	22812
1394	52518	22776
1395	52562	22742
1396	52606	22706
1397	52649	22671
1398	52693	22636
1399	52736	22601
1400	52779	22565
1401	52823	22530
1402	52864	22494
1403	52907	22459
1404	52950	22424
1405	52993	22388
1406	53037	22353
1407	53080	22318
1408	53124	22282
1409	53168	22247
1410	53211	22212
1411	53255	22177
1412	53301	22142
1413	53345	22107
1414	53390	22073
1415	53434	22037
1416	53477	22002
1417	53523	21968
1418	53570	21933
1419	53613	21898
1420	53655	21862
1421	53699	21827
1422	53741	21791
1423	53784	21755
1424	53825	21719
1425	53865	21682
1426	53907	21646
1427	53950	21610
1428	53993	21574
1429	54036	21538
1430	54079	21503
1431	54123	21467
1432	54166	21432
1433	54208	21396
1434	54249	21359
1435	54294	21324
1436	54337	21288
1437	54378	21252
1438	54420	21216
1439	54463	21180
1440	54506	21144
1441	54551	21109
1442	54594	21073
1443	54636	21037
1444	54679	21001
1445	54722	20965
1446	54766	20930
1447	54810	20894
1448	54851	20858
1449	54893	20821
1450	54935	20785
1451	54979	20749
1452	55021	20713
1453	55063	20677
1454	55106	20641
1455	55150	20605
1456	55196	20570
1457	55240	20535
1458	55282	20499
1459	55326	20463
1460	55369	20427
1461	55413	20391
1462	55456	20355
1463	55504	20321
1464	55549	20285
1465	55591	20249
1466	55633	20213
1467	55677	20177
1468	55709	20137
1469	55732	20093
1470	55757	20051
1471	55780	20008
1472	55806	19966
1473	55842	19927
1474	55878	19888
1475	55913	19850
1476	55937	19807
1477	55961	19764
1478	55985	19721
1479	56009	19678
1480	56043	19639
1481	56067	19597
1482	56092	19554
1483	56116	19512
1484	56141	19469
1485	56178	19431
1486	56214	19393
1487	56239	19351
1488	56276	19313
1489	56299	19270
1490	56325	19228
1491	56361	19190
1492	56385	19147
1493	56410	19105
1494	56434	19062
1495	56458	19020
1496	56484	18979
1497	56506	18936
1498	56531	18894
1499	56568	18856
1500	56593	18814
1501	56619	18772
1502	56658	18735
1503	56689	18695
1504	56721	18655
1505	56753	18616
1506	56783	18576
1507	56808	18534
1508	56838	18494
1509	56884	18459
1510	56931	18424
1511	56974	18388
1512	57017	18352
1513	57063	18317
1514	57109	18282
1515	57154	18247
1516	57204	18213
1517	57253	18179
1518	57298	18144
1519	57347	18109
1520	57393	18074
1521	57438	18039
1522	57482	18003
1523	57529	17968
1524	57578	17934
1525	57621	17898
1526	57664	17862
1527	57707	17825
1528	57749	17789
1529	57793	17753
1530	57836	17717
1531	57879	17681
1532	57923	17645
1533	57964	17608
1534	58008	17572
1535	58050	17536
1536	58092	17499
1537	58134	17463
1538	58177	17426
1539	58218	17390
1540	58261	17353
1541	58304	17317
1542	58346	17280
1543	58390	17244
1544	58435	17209
1545	58478	17172
1546	58520	17136
1547	58565	17100
1548	58608	17064
1549	58653	17028
1550	58696	16992
1551	58739	16955
1552	58782	16919
1553	58829	16884
1554	58870	16847
1555	58913	16810
1556	58958	16774
1557	59004	16739
1558	59044	16702
1559	59086	16665
1560	59129	16628
1561	59172	16592
1562	59218	16557
1563	59262	16520
1564	59307	16484
1565	59352	16448
1566	59395	16412
1567	59438	16375
1568	59483	16340
1569	59532	16305
1570	59575	16268
1571	59617	16231
1572	59659	16194
1573	59702	16158
1574	59745	16121
1575	59787	16085
1576	59830	16048
1577	59872	16011
1578	59915	15974
1579	59957	15938
1580	60000	15901
1581	60043	15864
1582	60084	15827
1583	60127	15790
1584	60170	15754
1585	60215	15718
1586	60256	15681
1587	60299	15644
1588	60343	15607
1589	60387	15571
1590	60430	15534
1591	60471	15497
1592	60514	15461
1593	60557	15424
1594	60600	15387
1595	60644	15351
1596	60686	15314
1597	60730	15277
1598	60773	15240
1599	60817	15204
1600	60860	15167
1601	60902	15130
1602	60946	15094
1603	60989	15057
1604	61033	15020
1605	61077	14984
1606	61122	14947
1607	61164	14910
1608	61207	14873
1609	61252	14837
1610	61295	14800
1611	61339	14764
1612	61384	14727
1613	61421	14689
1614	61445	14648
1615	61469	14606
1616	61493	14565
1617	61518	14524
1618	61543	14483
1619	61567	14441
1620	61592	14400
1621	61616	14359
1622	61651	14320
1623	61687	14282
1624	61712	14241
1625	61748	14202
1626	61773	14161
1627	61807	14123
1628	61833	14082
1629	61868	14043
1630	61903	14005
1631	61939	13966
1632	61974	13928
1633	61999	13887
1634	62034	13848
1635	62070	13810
1636	62096	13769
1637	62133	13731
1638	62169	13693
1639	62204	13654
1640	62240	13616
1641	62264	13575
1642	62300	13537
1643	62336	13498
1644	62359	13457
1645	62395	13419
1646	62431	13380
1647	62467	13342
1648	62492	13301
1649	62516	13261
1650	62538	13219
1651	62575	13181
1652	62598	13140
1653	62623	13100
1654	62648	13059
1655	62673	13019
1656	62698	12978
1657	62734	12940
1658	62758	12899
1659	62783	12859
1660	62806	12818
1661	62832	12778
1662	62868	12740
